,2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7
96,0,0,0,0,0,0,1,2,4,0,1,2,2,2,3,1,1,2,3,1,0,1,3,1,2,0,3,1,1,2,0,3,0,1,1,4,2,1,0,0,0,0,1,1,2,1,1,3,2,1,2,2,0,0,0
97,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,2,0,0,2,1,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
98,0,0,0,0,0,0,0,0,2,0,3,5,0,2,1,3,3,3,0,0,1,5,5,1,4,1,6,1,1,1,4,2,3,2,3,0,1,0,0,7,2,2,1,0,0,2,1,0,2,1,1,1,4,1,0
99,0,0,0,0,0,0,10,11,8,9,4,8,6,8,12,5,10,4,10,7,12,4,4,11,28,2,9,10,4,16,22,7,10,14,15,14,12,4,9,7,16,16,16,15,10,8,13,1,16,5,10,6,9,6,0
100,0,0,0,0,0,1,4,5,5,4,12,3,5,11,10,5,9,4,7,10,8,5,10,13,25,1,12,12,2,4,6,5,3,9,25,4,8,11,8,7,8,8,8,7,6,8,8,7,8,1,5,5,6,4,0
101,0,0,0,0,0,0,1,5,6,6,5,3,9,6,14,2,6,2,3,0,5,5,4,6,10,3,4,6,2,8,8,8,2,7,13,3,9,3,5,5,10,8,12,4,3,9,9,3,4,14,9,3,7,4,0
102,0,0,0,0,0,0,5,14,8,7,4,3,4,9,12,6,4,0,2,7,8,4,13,9,19,3,12,8,8,3,5,5,5,11,33,10,14,9,6,2,9,10,11,6,11,3,9,7,10,5,10,8,10,6,0
103,0,0,0,0,0,1,4,4,3,5,5,1,4,3,8,4,5,8,6,6,11,5,12,5,12,4,4,5,9,5,5,5,9,7,4,8,6,5,7,12,9,4,3,7,2,6,7,7,1,4,7,1,5,4,0
104,0,0,0,0,0,0,3,5,4,8,6,4,2,9,11,11,4,8,10,3,15,6,13,12,17,7,13,15,7,15,10,4,8,13,20,7,10,10,6,4,17,8,13,15,10,6,8,7,12,13,12,1,10,5,0
105,0,1,0,0,0,0,2,8,13,6,9,1,7,6,5,6,5,4,6,3,10,6,13,4,17,1,8,7,8,8,4,3,17,17,8,3,5,7,7,2,13,11,8,10,9,8,4,10,9,8,10,6,12,1,0
106,0,0,0,0,0,0,3,11,2,5,7,7,3,12,10,6,1,3,4,6,10,5,13,14,22,5,10,9,4,11,15,7,5,17,10,10,12,6,10,8,9,2,13,8,9,5,6,5,5,7,6,2,4,4,0
107,0,0,0,0,0,3,11,10,20,10,13,7,11,14,14,13,12,14,11,13,18,15,12,13,18,8,8,12,16,11,11,11,16,15,16,13,8,10,7,13,20,13,12,13,20,16,12,11,10,15,11,8,13,12,0
108,0,0,0,0,0,3,13,31,15,13,15,12,10,24,18,14,19,14,15,20,9,10,9,8,16,7,16,14,19,18,12,14,12,20,25,12,13,14,7,16,23,24,15,17,13,18,14,23,11,18,15,13,18,7,0
109,15,6,20,12,8,7,14,6,11,10,15,13,13,14,16,10,13,12,14,14,15,4,11,10,16,7,9,12,14,9,19,9,10,17,11,6,12,5,12,10,16,13,14,18,9,18,18,11,17,9,7,12,12,14,0
110,0,0,0,0,0,0,7,11,16,17,14,9,9,11,16,14,12,10,10,21,13,12,8,11,12,4,19,13,14,12,11,15,15,11,11,11,7,6,8,15,7,14,10,13,7,12,9,8,9,11,10,6,9,8,0
111,1,0,0,0,0,6,10,14,10,20,15,12,20,15,23,21,18,24,14,5,13,17,18,11,18,15,13,12,19,14,8,22,10,22,13,13,30,11,13,9,15,13,12,18,19,14,14,9,11,16,13,10,11,12,0
112,1,2,1,0,3,11,11,24,19,36,17,16,17,19,14,15,12,22,42,14,9,15,17,16,17,5,22,5,23,15,15,12,17,22,7,18,13,15,16,12,11,9,19,7,19,29,21,16,10,14,9,14,5,12,0
113,0,0,0,0,0,2,10,14,9,6,4,9,10,6,13,15,8,6,8,6,7,8,12,9,15,5,16,8,16,9,8,9,8,14,9,11,10,12,11,8,16,11,10,13,13,17,8,2,10,7,6,10,13,8,0
114,0,1,2,0,2,6,18,9,26,16,15,11,10,16,14,11,7,11,24,12,15,12,15,19,6,11,15,11,20,10,15,15,14,17,11,17,18,15,10,12,15,10,14,8,10,14,14,9,10,15,12,14,12,8,0
115,0,0,0,0,0,0,11,13,11,14,10,10,10,10,7,6,9,7,9,7,6,12,15,9,12,6,7,9,10,12,5,13,4,10,9,6,5,5,8,7,9,11,14,12,8,13,11,12,5,6,8,5,11,9,0
116,0,0,0,0,0,0,10,16,11,21,7,25,10,8,14,14,8,7,10,8,14,14,7,8,17,8,13,17,9,14,11,7,11,11,12,16,18,9,13,7,11,11,16,8,8,9,17,10,14,9,15,9,10,9,0
117,0,0,0,11,8,15,18,12,19,16,10,17,11,16,13,13,17,11,9,8,18,13,17,8,14,9,9,11,11,12,16,10,10,14,19,3,13,6,13,8,15,15,12,9,8,17,11,7,14,8,18,13,10,1,0
118,0,0,0,0,0,2,7,12,4,6,3,4,5,3,5,10,8,8,4,10,12,9,4,4,9,5,7,5,5,6,10,13,5,8,4,4,7,4,8,9,7,3,8,6,4,4,11,4,8,5,7,1,6,5,0
119,0,0,0,0,0,1,13,19,13,12,20,14,32,17,20,19,11,17,16,17,10,21,15,22,17,8,18,24,21,11,19,16,19,14,22,12,16,5,18,14,15,15,25,18,16,16,18,10,12,18,10,23,15,1,0
120,0,0,0,0,0,0,35,20,18,26,16,20,12,25,15,21,22,25,18,17,24,24,30,17,31,11,21,20,20,23,15,29,18,27,19,18,17,24,20,19,23,17,19,20,14,24,15,12,13,15,23,14,22,15,0
121,0,0,1,0,1,1,46,60,50,32,43,37,18,38,28,31,49,37,31,33,27,27,34,32,39,24,42,38,26,26,33,28,28,45,34,30,34,29,39,36,43,36,31,45,41,33,32,37,28,30,33,23,27,23,0
122,0,1,0,0,0,0,15,20,16,16,14,15,15,17,17,20,11,11,13,17,10,11,14,15,11,12,14,12,9,12,14,14,5,25,17,15,11,9,19,7,9,14,17,15,18,13,22,17,12,11,15,9,18,5,0
123,0,0,0,0,0,0,1,2,0,0,2,1,1,0,2,0,1,4,2,0,0,1,3,0,1,2,5,2,2,4,3,3,1,1,4,3,1,2,2,2,1,1,1,1,3,1,1,2,1,7,2,1,4,2,0
124,0,0,0,0,0,3,10,9,9,9,9,9,11,11,13,10,9,19,9,9,11,8,10,8,11,7,18,10,11,9,15,12,10,13,14,17,7,6,14,18,11,17,9,19,14,13,15,11,4,12,13,12,8,13,0
125,2,2,5,5,6,5,3,5,4,7,0,5,2,3,12,5,7,8,5,2,3,5,2,5,4,2,11,8,8,3,6,5,3,4,7,4,3,6,3,7,9,3,8,8,6,6,4,4,7,7,3,4,7,1,0
126,0,0,0,0,0,0,17,22,8,18,7,7,13,11,12,15,2,0,11,13,9,12,10,19,6,10,16,15,13,12,17,17,12,11,1,0,10,9,19,8,14,14,16,21,11,23,13,18,8,12,12,8,12,0,0
127,0,0,0,0,0,0,14,9,10,13,12,10,15,11,14,10,9,18,11,15,8,9,9,15,14,11,13,13,17,13,14,20,9,12,16,14,14,8,16,17,9,11,15,20,16,12,14,14,5,13,11,13,19,1,0
128,0,0,0,0,0,6,15,13,16,12,11,7,9,4,9,18,10,12,14,14,9,7,15,12,15,4,22,7,16,16,14,15,3,13,8,9,10,5,6,14,11,19,16,11,11,12,14,13,10,21,23,7,11,0,0
129,0,0,0,0,0,0,32,26,31,28,14,23,26,28,23,31,19,23,36,25,29,21,26,21,33,21,33,29,31,25,38,25,13,26,32,19,29,26,34,29,28,24,29,31,22,34,34,21,19,25,37,24,20,25,0
130,0,0,0,0,0,0,9,7,14,5,5,10,3,5,5,7,6,2,11,15,7,8,9,4,9,3,5,5,4,3,10,1,1,3,0,0,21,11,11,10,15,11,15,13,10,9,7,17,10,7,13,4,6,10,0
131,0,0,0,0,0,0,19,19,14,13,13,10,10,13,22,11,6,13,11,13,5,10,18,7,12,15,23,21,16,21,7,22,11,15,17,16,15,11,18,31,23,20,15,12,19,17,17,25,13,15,11,17,17,14,0
132,0,0,0,0,0,0,3,2,2,4,3,2,0,0,0,4,2,0,4,3,3,3,4,0,3,0,4,5,2,6,1,2,1,1,2,2,3,0,1,2,2,3,5,3,1,4,2,6,3,2,2,2,1,0,0
133,0,0,0,0,0,0,1,1,2,2,2,1,4,2,2,2,2,1,2,0,2,3,0,0,3,1,3,2,1,2,0,1,0,0,0,0,0,3,0,5,3,2,1,1,2,1,2,6,2,2,2,5,4,0,0
134,0,0,0,0,1,0,2,8,7,4,9,5,6,6,2,11,7,5,4,5,7,18,11,3,10,4,7,6,5,15,16,7,8,5,3,32,6,2,7,20,2,8,11,6,4,5,7,5,4,8,6,3,2,2,0
135,1,0,0,0,0,0,0,1,0,27,32,29,27,29,39,20,33,47,21,36,41,24,46,30,46,21,42,29,27,36,40,26,25,37,44,24,37,20,34,46,57,29,45,34,38,42,33,27,41,29,28,31,37,38,0
136,0,0,0,0,0,0,8,11,2,8,10,12,3,6,12,7,6,10,4,7,6,10,10,5,7,3,7,10,7,7,3,3,7,8,7,8,6,4,5,3,7,10,6,3,6,9,7,11,11,10,8,10,8,10,0
137,0,0,1,0,0,2,9,12,15,14,11,5,11,10,16,21,16,12,5,8,9,11,5,4,11,8,8,15,15,9,10,7,10,12,16,8,22,7,9,12,16,13,11,12,8,6,7,9,11,10,10,12,12,12,0
138,0,0,0,0,0,2,37,44,57,44,45,48,28,35,33,32,47,40,28,52,39,42,49,38,44,31,46,44,54,35,48,48,32,42,49,41,41,37,44,35,36,40,54,50,55,62,35,46,38,51,50,35,46,19,0
