P,[2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7]
534_10,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,3,2,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,2,0,1,1,1,0,1,2,0,1,0,1,0,1,0,1,1,1,1,1,0,0
534_11,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,1,2,2,1,1,2,1,2,0,2,1,5,1,6,2,1,1,2,1,0,2,1,2,0,2,1,0,0,3,0,4,0,3,0,4,0,1,2,0,0
534_12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,1,1,1,2,2,1,2,3,1,0,1,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
534_13,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,2,1,3,2,2,0,1,3,0,0,1,2,0,2,1,1,0,0,0,0,0,1,2,1,0,0,1,2,0,0,1,0,0,0,0
534_14,0,0,0,0,0,0,0,0,1,0,1,0,0,3,1,1,0,0,0,1,1,1,1,2,1,1,1,1,1,1,0,0,1,0,2,0,1,1,2,2,0,2,1,1,2,1,1,1,2,1,3,0,2,0,0
534_15,0,0,0,0,0,0,0,0,1,3,1,7,2,7,7,10,9,7,9,4,8,3,6,2,5,1,8,3,6,4,3,6,3,4,1,5,2,1,0,0,2,3,2,2,2,3,3,3,2,2,1,0,1,0,0
534_16,0,0,0,0,0,1,4,7,1,4,10,5,4,3,1,6,1,1,8,5,5,6,3,2,5,2,1,2,1,4,1,4,0,3,2,5,2,2,1,4,4,1,3,2,3,2,3,2,6,3,5,2,2,1,0
534_17,0,0,0,0,0,0,1,0,4,1,7,3,5,10,2,3,2,2,10,2,6,8,10,13,9,9,12,9,11,9,5,7,4,13,4,3,5,5,6,5,6,3,5,3,3,5,8,6,2,7,1,2,3,0,0
534_18,0,0,0,0,0,1,4,4,7,17,10,21,39,30,34,45,38,40,35,32,28,23,31,19,26,9,20,13,15,6,13,16,15,20,20,24,20,21,13,21,21,16,19,18,16,26,25,25,15,22,19,12,15,4,0
534_19,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,2,1,0,0
534_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534_23,0,0,0,0,0,0,0,0,2,0,1,0,1,3,1,3,4,2,1,1,1,1,0,0,0,0,0,2,1,1,1,1,0,4,0,2,0,1,0,0,2,0,1,0,3,6,3,6,3,8,9,3,8,2,0
534_24,0,0,0,0,0,2,7,10,7,17,21,26,39,30,27,38,27,33,38,30,26,26,33,30,30,18,26,20,23,14,12,22,16,24,16,27,17,22,15,23,20,13,17,6,12,14,22,15,12,15,13,15,11,2,0
534_25,0,0,0,0,0,0,1,1,1,5,3,4,10,7,10,10,11,8,14,8,12,10,10,3,9,1,7,2,4,4,6,4,1,8,10,3,10,6,5,7,10,7,9,17,7,14,10,13,7,9,4,0,2,1,0
534_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534_27,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
534_28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534_29,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
534_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534_31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,2,0,2,1,2,0,0,0,0,0,0,0,1,1,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
534_32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535_1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535_2,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,3,2,0,1,5,5,3,3,2,6,6,4,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,3,2,1,1,0,0,0,0
535_3,0,0,0,0,0,2,1,1,3,3,4,1,3,1,7,7,6,3,4,7,5,3,3,1,1,1,1,1,1,1,0,3,1,4,3,1,3,2,4,5,1,2,3,3,3,1,1,0,1,1,0,2,0,0,0
535_4,0,0,0,0,0,1,0,1,0,0,2,2,2,3,2,6,8,11,3,4,2,6,3,4,2,0,3,6,2,1,1,3,1,1,2,2,3,0,5,2,5,1,5,2,4,4,3,1,0,1,2,0,0,2,0
535_5,0,0,0,0,0,2,2,3,1,1,3,5,8,2,2,7,6,8,6,2,4,2,3,4,6,1,4,2,4,2,5,3,8,2,5,3,6,3,4,4,7,4,6,5,5,6,4,2,3,2,1,3,4,1,0
535_6,0,0,0,0,0,0,0,1,0,1,1,1,2,2,5,2,7,5,3,5,7,4,4,1,6,5,3,0,3,1,2,3,3,2,3,5,3,2,0,1,3,2,2,2,3,2,5,3,6,3,4,3,1,0,0
535_7,0,0,0,0,0,0,1,3,2,4,0,1,3,3,5,7,4,1,2,1,3,3,2,3,2,3,3,2,2,1,2,5,2,2,2,2,3,2,4,1,4,5,2,1,2,2,2,1,3,1,1,2,3,1,0
535_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535_10,0,0,0,0,0,0,1,1,0,0,4,3,2,1,0,1,4,4,2,1,0,1,1,1,2,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,1,2,0,1,0,0
535_11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,0,1,3,3,0,2,1,0,1,1,0,0,1,1,3,0,1,1,0,2,1,2,0,3,2,3,1,1,1,1,1,2,0,3,3,3,0,0
535_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,1,1,0,0,1,0,0,0,2,0,1,0,3,0,2,2,1,0,1,1,3,0,1,1,1,1,0,0,0,2,1,2,0,0,0
535_13,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,1,4,1,0,0,0,1,1,0,0,0,1,0,2,0,0,2,1,2,2,0,3,0,2,2,4,0,2,0,1,1,1,0,0,0,0,0,0,0,0
535_14,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,2,0,0,1,3,0,0,1,0,1,1,2,0,3,0,0,0,1,3,1,0,0,0,0,0,1,1,0,3,0,1,2,1,0,0,1,2,0,0,0
535_15,0,0,0,0,0,0,1,0,1,0,1,1,2,1,2,5,3,2,1,2,4,2,0,0,1,1,1,1,0,1,1,2,3,4,0,3,4,2,2,1,3,1,1,2,0,2,0,1,1,0,2,1,0,0,0
535_16,0,0,0,0,0,0,0,1,0,1,0,3,2,2,1,2,1,0,1,2,2,2,1,0,1,0,0,3,0,1,1,1,2,0,2,2,0,1,0,1,0,1,1,2,1,0,0,0,0,0,1,0,1,0,0
535_17,0,0,0,0,0,2,1,0,0,0,3,2,0,0,2,1,5,4,2,3,5,1,3,3,8,7,8,5,9,3,8,7,6,7,1,7,3,1,4,0,8,1,7,0,4,5,3,0,1,1,0,1,1,0,0
535_18,0,0,0,0,0,3,5,9,8,10,13,11,19,15,25,40,44,29,19,25,25,21,19,13,17,12,15,5,11,6,6,17,16,14,20,9,24,10,19,14,25,17,18,17,17,16,17,13,19,11,16,17,10,4,0
535_19,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,3,1,3,2,3,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,1,0,2,0,1,1,0,0,0,1,0,0,0,0
535_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535_23,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,2,12,10,6,10,7,10,8,8,15,11,7,3,3,1,0,3,3,2,2,2,2,0,3,1,1,5,5,10,9,7,11,6,12,7,11,15,9,3,0
535_24,0,0,0,0,0,4,4,7,5,8,11,12,18,12,16,33,30,21,12,15,19,13,12,9,11,6,12,4,10,8,9,17,14,16,13,10,21,10,17,10,23,14,13,8,9,10,7,5,7,4,5,3,2,1,0
535_25,0,0,0,0,0,1,2,4,2,2,4,3,5,5,8,9,8,5,6,7,8,3,3,0,1,1,4,6,6,1,4,4,4,3,7,6,3,2,4,6,9,1,7,3,4,5,3,1,0,1,1,0,1,0,0
535_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535_27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
535_28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535_29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
535_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535_31,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,2,2,0,0,1,1,0,0,0,0,0,0,0,1,0,2,0,1,1,0,1,0,0,2,1,1,0,1,0,0,0,0,1,0,1,0,0,0
535_32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536_0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536_1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536_2,0,0,0,0,0,0,2,4,3,0,2,2,7,4,1,4,6,4,4,3,4,6,2,6,2,2,3,4,2,4,4,2,3,1,1,3,5,2,1,1,4,1,4,2,4,2,3,0,0,1,4,3,3,0,0
536_3,0,0,0,0,0,0,3,5,1,3,3,2,7,4,4,5,9,8,9,7,3,8,12,5,8,2,4,4,4,5,4,5,3,3,8,3,3,2,2,4,9,1,9,3,3,10,10,1,1,3,1,1,0,0,0
536_4,0,0,0,0,0,0,2,2,1,3,3,2,4,5,3,4,6,5,7,4,1,5,6,6,4,2,5,7,13,5,4,5,5,2,3,2,1,5,2,2,3,4,5,5,8,7,11,0,4,2,1,2,1,1,0
536_5,0,0,0,0,0,0,7,5,6,5,2,10,7,7,1,4,9,2,7,4,2,7,4,7,4,4,7,6,7,4,7,4,3,6,5,5,5,1,12,7,7,5,6,7,7,6,7,1,1,1,1,2,3,0,0
536_6,0,0,0,0,0,0,5,6,4,5,3,4,8,6,7,9,8,7,7,8,6,9,8,10,7,1,7,7,5,7,4,8,9,5,5,4,4,5,5,3,6,4,6,9,6,12,13,1,3,1,4,9,3,2,0
536_7,0,0,0,0,0,0,6,7,3,1,6,5,4,7,5,6,8,7,6,6,7,6,7,11,6,9,7,7,6,6,3,8,6,5,2,3,7,4,4,2,4,5,2,3,2,3,6,4,3,5,1,5,2,6,0
536_8,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
536_9,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536_10,0,0,0,0,0,0,1,1,1,0,0,1,3,2,2,0,2,0,2,1,0,1,1,4,1,2,1,0,1,0,2,0,1,2,2,2,0,3,0,2,0,0,3,0,0,2,1,1,1,0,1,0,0,0,0
536_11,0,0,0,0,0,0,0,2,1,1,1,1,1,6,0,4,2,0,3,4,1,2,1,0,3,1,0,3,0,3,2,1,1,1,2,1,4,0,2,0,3,2,0,2,1,1,1,0,0,0,0,0,0,0,0
536_12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,1,2,2,1,2,0,1,0,0,0,0,2,0,1,0,2,0,1,2,2,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
536_13,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,0,2,0,1,0,0,1,0,0,1,0,2,1,1,0,0,0,0,0,0,1,1,1,0,1,1,2,0,1,1,0,0,0,0,0,0,1,0
536_14,0,0,0,0,0,0,1,1,1,0,0,0,1,1,3,3,1,2,3,1,2,0,1,3,3,0,3,2,8,0,2,4,0,4,1,3,2,2,1,1,1,2,1,2,0,3,2,3,0,0,1,0,0,0,0
536_15,0,0,0,0,0,0,1,1,0,2,2,6,4,2,2,1,4,2,4,3,1,2,4,3,4,2,4,8,6,4,7,5,3,3,1,1,5,2,2,4,1,2,4,4,8,4,4,0,4,1,2,4,1,4,0
536_16,0,0,0,0,0,0,27,33,20,15,14,21,26,17,9,8,10,3,2,4,3,3,4,6,3,1,2,5,4,5,3,4,5,3,2,1,1,0,0,1,2,1,1,1,0,1,2,2,1,1,1,1,0,1,0
536_17,0,0,0,0,0,0,0,1,0,2,1,0,1,1,4,4,3,4,8,8,9,8,12,21,12,10,25,19,35,17,16,14,11,12,5,10,7,9,12,10,15,3,13,6,9,11,12,1,1,3,4,2,2,3,0
536_18,0,0,0,0,0,0,1,0,1,3,7,16,24,29,20,29,44,31,45,32,17,36,30,31,27,14,16,23,19,17,24,24,21,18,27,18,31,19,21,17,23,24,27,32,32,39,44,8,15,9,10,22,10,10,0
536_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,2,1,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0
536_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536_23,0,0,0,0,0,0,10,12,5,0,0,0,0,0,0,3,1,4,5,1,0,0,1,1,1,1,0,2,5,1,2,2,0,0,2,0,1,1,0,1,9,8,20,20,22,29,36,5,8,11,8,14,7,6,0
536_24,0,0,0,0,0,0,12,21,10,12,13,20,36,34,18,30,33,24,32,28,17,29,31,29,29,15,19,39,34,29,32,30,29,25,26,24,27,19,25,23,24,15,17,17,15,19,20,4,8,3,5,9,5,6,0
536_25,0,0,0,0,0,0,6,1,6,7,7,17,13,12,15,11,24,8,18,14,13,20,8,26,10,7,19,6,20,7,8,6,8,4,6,3,11,6,6,3,6,4,3,2,3,3,2,1,1,0,3,2,1,2,0
536_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,1,1,1,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536_27,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536_28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0
536_29,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2,1,1,0,0,4,0,0,1,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
536_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
536_31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,2,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
536_32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
537_1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537_2,0,0,0,0,0,1,1,2,0,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,1,1,3,2,1,0,1,1,1,2,0,1,4,2,4,4,4,2,3,1,2,0,2,0,0,1,0,0
537_3,0,0,0,0,0,0,2,2,2,2,2,4,0,3,2,4,3,5,4,1,3,2,1,1,6,4,3,5,3,6,14,5,4,9,7,6,6,4,0,2,2,5,9,2,5,6,4,7,4,5,0,3,2,1,0
537_4,0,0,0,0,0,0,1,2,1,2,2,4,3,1,0,3,4,1,5,7,3,5,3,5,2,2,5,5,2,4,3,2,5,3,3,3,8,3,7,2,4,5,6,7,3,8,1,5,2,4,3,0,1,3,0
537_5,0,0,0,0,0,1,2,1,4,3,6,7,1,4,2,3,4,5,4,6,9,6,7,12,7,10,13,6,8,6,6,1,4,6,4,4,5,6,6,8,7,3,5,5,3,9,5,5,4,4,3,1,3,2,0
537_6,0,0,0,0,0,0,3,6,3,5,5,6,4,2,4,8,5,5,6,6,4,6,2,3,3,2,5,2,8,4,7,4,5,7,11,7,7,6,6,9,3,5,3,1,4,3,1,2,1,3,2,1,7,6,0
537_7,0,0,0,0,1,0,2,2,3,5,1,3,1,4,3,4,3,7,7,3,5,4,10,5,5,7,6,6,9,5,3,9,4,7,7,6,4,3,2,6,4,4,3,5,7,5,2,6,5,3,11,1,8,3,0
537_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
537_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537_10,0,0,0,0,0,0,1,1,1,2,5,0,0,1,1,3,1,1,0,1,0,2,0,1,2,1,3,2,0,0,2,1,0,0,0,0,2,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
537_11,0,0,0,0,0,1,1,0,3,2,2,1,1,0,0,3,7,4,2,3,1,1,3,1,2,1,2,0,3,0,1,2,1,2,4,3,2,2,1,2,5,2,1,1,0,0,1,1,2,2,2,1,1,3,0
537_12,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,1,1,0,0
537_13,0,0,0,0,0,0,0,0,1,1,1,5,2,4,3,2,0,3,3,1,2,1,1,0,0,0,0,0,1,0,1,0,0,2,4,2,2,2,2,0,1,0,1,0,2,0,0,1,1,0,1,0,0,0,0
537_14,0,0,0,0,0,0,0,1,1,1,2,1,1,0,0,0,3,0,5,1,2,4,5,0,4,0,1,1,1,0,0,1,0,1,0,0,2,0,3,1,4,1,2,2,4,3,5,1,3,1,2,1,1,1,0
537_15,0,0,0,0,0,0,1,0,1,3,1,3,1,0,1,3,0,3,5,8,2,8,3,4,5,3,2,2,2,4,6,3,1,1,2,2,0,3,3,3,3,2,3,4,2,2,4,2,0,1,3,0,2,1,0
537_16,0,0,0,0,1,2,10,3,2,1,4,1,0,1,0,5,4,6,16,10,9,10,8,7,8,8,12,11,11,13,9,6,5,11,9,6,10,6,10,10,9,10,9,6,7,8,4,4,1,3,3,0,1,2,0
537_17,0,0,0,0,0,0,0,0,1,4,4,1,1,0,0,4,3,1,3,7,3,7,9,7,13,9,8,9,13,7,12,5,3,5,8,4,1,2,5,5,6,8,8,7,6,8,4,3,1,1,2,3,0,1,0
