;Name;Status;2016;2017;2018;2019;2020
Bình Thuận;Bình Thuận;Province;1213493.91857;1219238.04606;1225009.36364;1230808;1236606.63636
Bình Thuận;Bắc Bình;District;126002.00034;127116.12006;128240.09091;129374;130507.90909
Bình Thuận;Đức Linh;District;125761.92473;125852.88402;125943.90909;126035;126126.09091
Bình Thuận;Hàm Tân;District;70367.51319;70477.17115;70587;70697;70807
Bình Thuận;Hàm Thuận Bắc;District;179671.5837;181145.92463;182632.36364;184131;185629.63636
Bình Thuận;Hàm Thuận Nam;District;111726.84615;113310.02438;114915.63636;116544;118172.36364
Bình Thuận;La Gi;District-level Town;106367.93821;106597.13127;106826.81818;107057;107287.18182
Bình Thuận;Phan Thiết;District-level City;223909.01302;224847.40377;225789.72727;226736;227682.27273
Bình Thuận;Phú Quý;District;26597.46261;26703.88205;26810.72727;26918;27025.27273
Bình Thuận;Tánh Linh;District;99476.37666;99155.21535;98835.09091;98516;98196.90909
Bình Thuận;Tuy Phong;District;143686.86462;144056.95569;144428;144800;145172
Cà Mau;Cà Mau;Province;1197877.95184;1196742.8927;1195608.90909;1194476;1193343.09091
Cà Mau;Cái Nước;District;136844.83155;136775.85293;136706.90909;136638;136569.09091
Cà Mau;Cà Mau;District-level City;223608.05324;224525.59865;225446.90909;226372;227297.09091
Cà Mau;Đầm Dơi;District;177379.96868;176794.38137;176210.72727;175629;175047.27273
Cà Mau;Năm Căn;District;59419.88631;58537.89733;57669;56813;55957
Cà Mau;Ngọc Hiển;District;70055.99343;68978.85232;67918.27273;66874;65829.72727
Cà Mau;Phú Tân;District;99398.71668;98830.2327;98265;97703;97141
Cà Mau;Thới Bình;District;135454.47041;135600.15686;135746;135892;136038
Cà Mau;Trần Văn Thời;District;194578.89397;195606.8227;196640.18182;197679;198717.81818
Cà Mau;U Minh;District;101266.22938;101135.98548;101005.90909;100876;100746.09091
Cần Thơ;Cần Thơ;Municipality;1222468.61208;1226688.16018;1230922.27273;1235171;1239419.72727
Cần Thơ;Bình Thủy;Urban District;134506.04535;137011.72921;139564.09091;142164;144763.90909
