;Name;Status;2016;2017;2018;2019;2020
Sóc Trăng;Trần Đề;District;117987.33662;116116.37963;114275.09091;112463;110650.90909
Sóc Trăng;Vĩnh Châu;District-level Town;164440.11657;164520.03886;164600;164680;164760
Sơn La;Sơn La;Province;1201995.25598;1217273.48388;1232745.90909;1248415;1264084.09091
Sơn La;Bắc Yên;District;64096.86785;64980.34523;65876;66784;67692
Sơn La;Mai Sơn;District;156748.85888;159091.06667;161468.27273;163881;166293.72727
Sơn La;Mộc Châu;District;110162.48115;111576.75323;113009.18182;114460;115910.81818
Sơn La;Mường La;District;97325.8964;98056.43373;98792.45455;99534;100275.54545
Sơn La;Phù Yên;District;112783.87373;113509.24064;114239.27273;114974;115708.72727
Sơn La;Quỳnh Nhai;District;62542.71983;63039.52312;63540.27273;64045;64549.72727
Sơn La;Sông Mã;District;146680.00812;149152.75211;151667.18182;154224;156780.81818
Sơn La;Sơn La;District-level City;102191.09701;103462.1888;104749.09091;106052;107354.90909
Sơn La;Sốp Cộp;District;47227.99245;48203.37859;49198.90909;50215;51231.09091
Sơn La;Thuận Châu;District;165930.82268;168177.65397;170454.90909;172763;175071.09091
Sơn La;Vân Hồ;District;59893.98208;60649.09464;61413.72727;62188;62962.27273
Sơn La;Yên Châu;District;76454.5176;77389.85556;78336.63636;79295;80253.36364
Tây Ninh;Tây Ninh;Province;1141391.86296;1150575.48583;1159833;1169165;1178497
Tây Ninh;Bến Cầu;District;67980.01305;68597.38496;69220.36364;69849;70477.63636
Tây Ninh;Châu Thành;District;137879.54391;138836.04513;139799.18182;140769;141738.81818
Tây Ninh;Dương Minh Châu;District;115152.11169;116472.21627;117807.45455;119158;120508.54545
Tây Ninh;Gò Dầu;District;148504.8934;149908.94569;151326.27273;152757;154187.72727
Tây Ninh;Hòa Thành;District;138091.28811;137976.09601;137861;137746;137631
Tây Ninh;Tân Biên;District;99922.34703;100672.58432;101428.45455;102190;102951.54545
Tây Ninh;Tân Châu;District;131134.78629;132326.65855;133529.36364;134743;135956.63636
Tây Ninh;Tây Ninh;District-level City;131579.99367;132317.52077;133059.18182;133805;134550.81818
Tây Ninh;Trảng Bàng;District;171201.47858;173486.35579;175801.72727;178148;180494.27273
Thái Bình;Thái Bình;Province;1839091.50883;1846182.62899;1853301.09091;1860447;1867592.90909
Thái Bình;Đông Hưng;District;241888.37939;242867.61666;243850.81818;244838;245825.18182
Thái Bình;Hưng Hà;District;252008.92369;252429.24768;252850.27273;253272;253693.72727
Thái Bình;Kiến Xương;District;215479.59464;215879.65322;216280.45455;216682;217083.54545
Thái Bình;Quỳnh Phụ;District;238567.46668;239355.70388;240146.54545;240940;241733.45455
Thái Bình;Thái Bình;District-level City;199813.01768;201866.50243;203941.09091;206037;208132.90909
Thái Bình;Thái Thụy;District;252577.82079;253456.15593;254337.54545;255222;256106.45455
Thái Bình;Tiền Hải;District;213511.4568;214183.85146;214858.36364;215535;216211.63636
Thái Bình;Vũ Thư;District;225276.29582;226154.43639;227036;227921;228806
Thái Nguyên;Thái Nguyên;Province;1242637.21807;1257171.15967;1271875.09091;1286751;1301626.90909
Thái Nguyên;Đại Từ;District;168441.32822;169521.60907;170608.81818;171703;172797.18182
Thái Nguyên;Định Hóa;District;88689.61447;88888.6294;89088.09091;89288;89487.90909
Thái Nguyên;Đồng Hỷ;District;89901.07407;90733.32119;91573.27273;92421;93268.72727
Thái Nguyên;Phổ Yên;District-level Town;180835.36154;185874.51575;191054.09091;196378;201701.90909
Thái Nguyên;Phú Bình;District;149585.421;151953.91402;154359.90909;156804;159248.09091
Thái Nguyên;Phú Lương;District;99311.60539;100295.29457;101288.72727;102292;103295.27273
Thái Nguyên;Sông Công;District-level City;67579.56466;68175.11273;68775.90909;69382;69988.09091
Thái Nguyên;Thái Nguyên;District-level City;331459.31025;334414.12108;337395.27273;340403;343410.72727
Thái Nguyên;Võ Nhai;District;67038.35809;67383.78909;67731;68080;68429
Thanh Hóa;Thanh Hóa;Province;3575190.83476;3596706.81074;3618352.27273;3640128;3661903.72727
Thanh Hóa;Bá Thước;District;99618.73333;100022.18604;100427.27273;100834;101240.72727
Thanh Hóa;Bỉm Sơn;District-level Town;57042.13921;57483.99463;57929.27273;58378;58826.72727
Thanh Hóa;Cẩm Thủy;District;107449.23523;108322.70371;109203.27273;110091;110978.72727
Thanh Hóa;Đông Sơn;District;76208.22541;76445.74257;76684;76923;77162
Thanh Hóa;Hà Trung;District;115910.9853;116874.62336;117846.27273;118826;119805.72727
Thanh Hóa;Hậu Lộc;District;173522.35233;174482.24845;175447.45455;176418;177388.54545
Thanh Hóa;Hoằng Hóa;District;229960.14935;230983.20805;232010.81818;233043;234075.18182
Thanh Hóa;Lang Chánh;District;48488.33341;48873.81623;49262.36364;49654;50045.63636
Thanh Hóa;Mường Lát;District;38130.99365;38727.28891;39332.90909;39948;40563.09091
Thanh Hóa;Nga Sơn;District;139678.35086;140155.27032;140633.81818;141114;141594.18182
Thanh Hóa;Ngọc Lặc;District;134552.51755;135235.20868;135921.36364;136611;137300.63636
Thanh Hóa;Như Thanh;District;92166.51688;93070.77706;93983.90909;94906;95828.09091
Thanh Hóa;Như Xuân;District;65717.47094;65891.18769;66065.36364;66240;66414.63636
Thanh Hóa;Nông Cống;District;182827.45582;182818.63679;182809.81818;182801;182792.18182
Thanh Hóa;Quảng Xương;District;195002.89028;196635.88039;198282.54545;199943;201603.45455
Thanh Hóa;Quan Hóa;District;47487.07922;47939.07036;48395.36364;48856;49316.63636
Thanh Hóa;Quan Sơn;District;39153.34163;39605.64915;40063.18182;40526;40988.81818
Thanh Hóa;Sầm Sơn;District-level City;104425.56056;105995.97191;107590;109208;110826
Thanh Hóa;Thạch Thành;District;142139.22072;142870.04971;143604.63636;144343;145081.36364
Thanh Hóa;Thanh Hóa;District-level City;349814.88483;353148.06249;356513;359910;363307
Thanh Hóa;Thiệu Hóa;District;158616.26084;159318.39456;160023.63636;160732;161440.36364
Thanh Hóa;Thọ Xuân;District;200631.40284;199074.89093;197530.45455;195998;194465.54545
Thanh Hóa;Thường Xuân;District;87528.06983;88059.15101;88593.45455;89131;89668.54545
Thanh Hóa;Tĩnh Gia;District;241305.425;244532.27341;247802.27273;251116;254429.72727
Thanh Hóa;Triệu Sơn;District;200531.6922;201147.89934;201766;202386;203006
Thanh Hóa;Vĩnh Lộc;District;84732.17968;85272.00659;85815.27273;86362;86908.72727
Thanh Hóa;Yên Định;District;162802.25259;163805.30901;164814.54545;165830;166845.45455
TP. Hồ Chí Minh;TP. Hồ Chí Minh;Municipality;8503109.60035;8663393.39643;8826698.54545;8993082;9159465.45455
TP. Hồ Chí Minh;Bình Chánh;District;630499.27584;654571.42476;679562.63636;705508;731453.36364
TP. Hồ Chí Minh;Bình Tân;Urban District;727753.54326;746093.9426;764896.54545;784173;803449.45455
TP. Hồ Chí Minh;Bình Thạnh;Urban District;487850.0277;491592.5675;495363.81818;499164;502964.18182
TP. Hồ Chí Minh;Cần Giờ;District;70797.57775;71039.55716;71282.36364;71526;71769.63636
TP. Hồ Chí Minh;Củ Chi;District;430374.4937;440683.10572;451238.63636;462047;472855.36364
TP. Hồ Chí Minh;Gò Vấp;Urban District;635707.0135;649151.34222;662880;676899;690918
TP. Hồ Chí Minh;Hóc Môn;District;491245.97752;507688.49639;524681.36364;542243;559804.63636
TP. Hồ Chí Minh;Nhà Bè;District;179312.60373;188054.30847;197222.18182;206837;216451.81818
TP. Hồ Chí Minh;Phú Nhuận;Urban District;166861.75851;165889.18122;164922.27273;163961;162999.72727
TP. Hồ Chí Minh;Quận 1;Urban District;153127.27146;149543.28453;146043.18182;142625;139206.81818
TP. Hồ Chí Minh;Quận 2;Urban District;171480.64768;174363.36623;177294.54545;180275;183255.45455
TP. Hồ Chí Minh;Quận 3;Urban District;190423.54958;190407.36501;190391.18182;190375;190358.81818
TP. Hồ Chí Minh;Quận 4;Urban District;176874.70201;176357.95981;175842.72727;175329;174815.27273
TP. Hồ Chí Minh;Quận 5;Urban District;162473.03142;161331.68867;160198.36364;159073;157947.63636
TP. Hồ Chí Minh;Quận 6;Urban District;237887.81063;236436.70676;234994.45455;233561;232127.54545
TP. Hồ Chí Minh;Quận 7;Urban District;329467.01505;339394.22139;349620.54545;360155;370689.45455
TP. Hồ Chí Minh;Quận 8;Urban District;420346.73383;421781.91685;423222;424667;426112
TP. Hồ Chí Minh;Quận 9;Urban District;359843.7881;371827.66279;384210.63636;397006;409801.36364
TP. Hồ Chí Minh;Quận 10;Urban District;233600.93042;234006.24994;234412.27273;234819;235225.72727
TP. Hồ Chí Minh;Quận 11;Urban District;214533.99165;212966.90874;211411.27273;209867;208322.72727
TP. Hồ Chí Minh;Quận 12;Urban District;563393.03713;581708.79825;600620;620146;639672
TP. Hồ Chí Minh;Tân Bình;Urban District;460465.47214;465192.29311;469967.63636;474792;479616.36364
TP. Hồ Chí Minh;Tân Phú;Urban District;461940.3607;469614.70506;477416.54545;485348;493279.45455
TP. Hồ Chí Minh;Thủ Đức;Urban District;552578.42291;565636.60202;579003.36364;592686;606368.63636
Thừa Thiên Huế;Thừa Thiên Huế;Province;1117420.88427;1121141.52063;1124874.54545;1128620;1132365.45455
Thừa Thiên Huế;A Lưới;District;47560.7646;48171.95518;48791;49418;50045
Thừa Thiên Huế;Huế;District-level City;347142.58565;348574.47606;350012.27273;351456;352899.72727
Thừa Thiên Huế;Hương Thủy;District-level Town;109166.9271;110743.08522;112342;113964;115586
Thừa Thiên Huế;Hương Trà;District-level Town;115073.00065;115078.00022;115083;115088;115093
Thừa Thiên Huế;Nam Đông;District;23830.15208;23985.74987;24142.36364;24300;24457.63636
Thừa Thiên Huế;Phong Điền;District;87865.2997;87837.19081;87809.09091;87781;87752.90909
Thừa Thiên Huế;Phú Lộc;District;131070.55676;130661.09335;130252.90909;129846;129439.09091
Thừa Thiên Huế;Phú Vang;District;177089.14431;177918.53902;178751.81818;179589;180426.18182
Thừa Thiên Huế;Quảng Điền;District;78724.48874;78205.57964;77690.09091;77178;76665.90909
Tiền Giang;Tiền Giang;Province;1739236.08654;1747512.93981;1755829.18182;1764185;1772540.81818
Tiền Giang;Cái Bè;District;291185.38937;291702.00912;292219.54545;292738;293256.45455
Tiền Giang;Cai Lậy;District;191073.45756;191822.03514;192573.54545;193328;194082.45455
Tiền Giang;Cai Lậy;District-level Town;124327.24394;124755.0224;125184.27273;125615;126045.72727
Tiền Giang;Châu Thành;District;258096.98051;259861.2331;261637.54545;263426;265214.45455
Tiền Giang;Chợ Gạo;District;186205.76871;186706.16653;187207.90909;187711;188214.09091
Tiền Giang;Gò Công;District-level Town;98221.22361;98697.50251;99176.09091;99657;100137.90909
Tiền Giang;Gò Công Đông;District;139391.62691;139280.99682;139170.45455;139060;138949.54545
Tiền Giang;Gò Công Tây;District;126521.25336;126724.50887;126928.09091;127132;127335.90909
Tiền Giang;Mỹ Tho;District-level City;219735.33261;222491.83122;225282.90909;228109;230935.09091
Tiền Giang;Tân Phú Đông;District;41630.14383;41778.89706;41928.18182;42078;42227.81818
Tiền Giang;Tân Phước;District;62929.93958;63720.32445;64520.63636;65331;66141.36364
Trà Vinh;Trà Vinh;Province;1007490.02178;1008049.03762;1008608.36364;1009168;1009727.63636
Trà Vinh;Càng Long;District;146523.01748;146912.30977;147302.63636;147694;148085.36364
Trà Vinh;Cầu Kè;District;104639.62421;104011.65508;103387.45455;102767;102146.54545
Trà Vinh;Cầu Ngang;District;123823.02373;122960.69094;122104.36364;121254;120403.63636
Trà Vinh;Châu Thành;District;142070.68003;142724.11007;143380.54545;144040;144699.45455
Trà Vinh;Duyên Hải;District;77970.68245;78128.13679;78285.90909;78444;78602.09091
Trà Vinh;Duyên Hải;District-level Town;48289.68022;48263.10553;48236.54545;48210;48183.45455
Trà Vinh;Tiểu Cần;District;108194.37445;108078.12477;107962;107846;107730
Trà Vinh;Trà Cú;District;147225.36955;146925.97126;146627.18182;146329;146030.81818
Trà Vinh;Trà Vinh;District-level City;108839.48031;110073.60693;111321.72727;112584;113846.27273
Tuyên Quang;Tuyên Quang;Province;768563.5192;773941.62449;779357.36364;784811;790264.63636
Tuyên Quang;Chiêm Hóa;District;126328.27777;126576.0323;126824.27273;127073;127321.72727
Tuyên Quang;Hàm Yên;District;118204.97414;119241.5331;120287.18182;121342;122396.81818
Tuyên Quang;Lâm Bình;District;30681.60201;30832.65644;30984.45455;31137;31289.54545
Tuyên Quang;Nà Hang;District;42852.12318;42983.67784;43115.63636;43248;43380.36364
Tuyên Quang;Sơn Dương;District;180372.01381;181441.65351;182517.63636;183600;184682.36364
Tuyên Quang;Tuyên Quang;District-level City;100491.91339;101857.63097;103241.90909;104645;106048.09091
Tuyên Quang;Yên Sơn;District;169659.5969;171017.50069;172386.27273;173766;175145.72727
Vĩnh Long;Vĩnh Long;Province;1023313.63445;1023139.3933;1022965.18182;1022791;1022616.81818
Vĩnh Long;Bình Minh;District-level Town;92857.02108;93520.59408;94188.90909;94862;95535.09091
Vĩnh Long;Bình Tân;District;95010.61471;95242.84173;95475.63636;95709;95942.36364
Vĩnh Long;Long Hồ;District;165752.57169;166398.52717;167047;167698;168349
Vĩnh Long;Mang Thít;District;97000.45846;96723.51571;96447.36364;96172;95896.63636
Vĩnh Long;Tam Bình;District;152144.03656;151935.73933;151727.72727;151520;151312.27273
Vĩnh Long;Trà Ôn;District;131011.81205;130535.81404;130061.54545;129589;129116.45455
Vĩnh Long;Vĩnh Long;District-level City;137522.29272;137638.0976;137754;137870;137986
Vĩnh Long;Vũng Liêm;District;152063.0121;151160.32676;150263;149371;148479
Vĩnh Phúc;Vĩnh Phúc;Province;1110363.33304;1123797.03918;1137393.27273;1151154;1164914.72727
Vĩnh Phúc;Bình Xuyên;District;124901.39353;126906.24275;128943.27273;131013;133082.72727
Vĩnh Phúc;Lập Thạch;District;131431.75914;132986.05277;134558.72727;136150;137741.27273
Vĩnh Phúc;Phúc Yên;District-level City;102173.05049;103433.74748;104710;106002;107294
Vĩnh Phúc;Sông Lô;District;96003.10133;96906.21193;97817.81818;98738;99658.18182
Vĩnh Phúc;Tam Đảo;District;79946.58561;81253.25095;82581.27273;83931;85280.72727
Vĩnh Phúc;Tam Dương;District;109102.2136;110837.39932;112600.18182;114391;116181.81818
Vĩnh Phúc;Vĩnh Tường;District;200967.30098;202416.06482;203875.27273;205345;206814.72727
Vĩnh Phúc;Vĩnh Yên;District-level City;112482.63584;114655.51253;116870.36364;119128;121385.63636
Vĩnh Phúc;Yên Lạc;District;153416.98276;154423.37233;155436.36364;156456;157475.63636
Yên Bái;Yên Bái;Province;799234.93466;806434.90026;813699.72727;821030;828360.27273
Yên Bái;Lục Yên;District;107223.65884;107752.16329;108283.27273;108817;109350.72727
Yên Bái;Mù Căng Chải;District;60033.52063;61315.12581;62624.09091;63961;65297.90909
Yên Bái;Nghĩa Lộ;District-level Town;30587.74425;30982.0578;31381.45455;31786;32190.54545
Yên Bái;Trạm Tấu;District;32020.75351;32655.18267;33302.18182;33962;34621.81818
Yên Bái;Trấn Yên;District;83243.68684;83718.08257;84195.18182;84675;85154.81818
Yên Bái;Văn Chấn;District;152405.84802;153421.44922;154443.81818;155473;156502.18182
Yên Bái;Văn Yên;District;125984.0239;127203.83396;128435.45455;129679;130922.54545
Yên Bái;Yên Bái;District-level City;97981.86516;98857.06924;99740.09091;100631;101521.90909
Yên Bái;Yên Bình;District;109805.64549;110547.40827;111294.18182;112046;112797.81818
