;Name;Status;2016-1;2016-2;2016-3;2016-4;2016-5;2016-6;2016-7;2016-8;2016-9;2016-10;2016-11;2016-12;2017-1;2017-2;2017-3;2017-4;2017-5;2017-6;2017-7;2017-8;2017-9;2017-10;2017-11;2017-12;2018-1;2018-2;2018-3;2018-4;2018-5;2018-6;2018-7;2018-8;2018-9;2018-10;2018-11;2018-12;2019-1;2019-2;2019-3;2019-4;2019-5;2019-6;2019-7;2019-8;2019-9;2019-10;2019-11;2019-12;2020-1;2020-2;2020-3;2020-4;2020-5;2020-6;2020-7
Thanh Hóa;Ngọc Lặc;District;134552.51755;134552.51755;134552.51755;134552.51755;134552.51755;134552.51755;134552.51755;134552.51755;134552.51755;134552.51755;134552.51755;134552.51755;135235.20868;135235.20868;135235.20868;135235.20868;135235.20868;135235.20868;135235.20868;135235.20868;135235.20868;135235.20868;135235.20868;135235.20868;135921.36364;135921.36364;135921.36364;135921.36364;135921.36364;135921.36364;135921.36364;135921.36364;135921.36364;135921.36364;135921.36364;135921.36364;136611;136611;136611;136611;136611;136611;136611;136611;136611;136611;136611;136611;137300.63636;137300.63636;137300.63636;137300.63636;137300.63636;137300.63636;137300.63636
Thanh Hóa;Như Thanh;District;92166.51688;92166.51688;92166.51688;92166.51688;92166.51688;92166.51688;92166.51688;92166.51688;92166.51688;92166.51688;92166.51688;92166.51688;93070.77706;93070.77706;93070.77706;93070.77706;93070.77706;93070.77706;93070.77706;93070.77706;93070.77706;93070.77706;93070.77706;93070.77706;93983.90909;93983.90909;93983.90909;93983.90909;93983.90909;93983.90909;93983.90909;93983.90909;93983.90909;93983.90909;93983.90909;93983.90909;94906;94906;94906;94906;94906;94906;94906;94906;94906;94906;94906;94906;95828.09091;95828.09091;95828.09091;95828.09091;95828.09091;95828.09091;95828.09091
Thanh Hóa;Như Xuân;District;65717.47094;65717.47094;65717.47094;65717.47094;65717.47094;65717.47094;65717.47094;65717.47094;65717.47094;65717.47094;65717.47094;65717.47094;65891.18769;65891.18769;65891.18769;65891.18769;65891.18769;65891.18769;65891.18769;65891.18769;65891.18769;65891.18769;65891.18769;65891.18769;66065.36364;66065.36364;66065.36364;66065.36364;66065.36364;66065.36364;66065.36364;66065.36364;66065.36364;66065.36364;66065.36364;66065.36364;66240;66240;66240;66240;66240;66240;66240;66240;66240;66240;66240;66240;66414.63636;66414.63636;66414.63636;66414.63636;66414.63636;66414.63636;66414.63636
Thanh Hóa;Nông Cống;District;182827.45582;182827.45582;182827.45582;182827.45582;182827.45582;182827.45582;182827.45582;182827.45582;182827.45582;182827.45582;182827.45582;182827.45582;182818.63679;182818.63679;182818.63679;182818.63679;182818.63679;182818.63679;182818.63679;182818.63679;182818.63679;182818.63679;182818.63679;182818.63679;182809.81818;182809.81818;182809.81818;182809.81818;182809.81818;182809.81818;182809.81818;182809.81818;182809.81818;182809.81818;182809.81818;182809.81818;182801;182801;182801;182801;182801;182801;182801;182801;182801;182801;182801;182801;182792.18182;182792.18182;182792.18182;182792.18182;182792.18182;182792.18182;182792.18182
Thanh Hóa;Quảng Xương;District;195002.89028;195002.89028;195002.89028;195002.89028;195002.89028;195002.89028;195002.89028;195002.89028;195002.89028;195002.89028;195002.89028;195002.89028;196635.88039;196635.88039;196635.88039;196635.88039;196635.88039;196635.88039;196635.88039;196635.88039;196635.88039;196635.88039;196635.88039;196635.88039;198282.54545;198282.54545;198282.54545;198282.54545;198282.54545;198282.54545;198282.54545;198282.54545;198282.54545;198282.54545;198282.54545;198282.54545;199943;199943;199943;199943;199943;199943;199943;199943;199943;199943;199943;199943;201603.45455;201603.45455;201603.45455;201603.45455;201603.45455;201603.45455;201603.45455
Thanh Hóa;Quan Hóa;District;47487.07922;47487.07922;47487.07922;47487.07922;47487.07922;47487.07922;47487.07922;47487.07922;47487.07922;47487.07922;47487.07922;47487.07922;47939.07036;47939.07036;47939.07036;47939.07036;47939.07036;47939.07036;47939.07036;47939.07036;47939.07036;47939.07036;47939.07036;47939.07036;48395.36364;48395.36364;48395.36364;48395.36364;48395.36364;48395.36364;48395.36364;48395.36364;48395.36364;48395.36364;48395.36364;48395.36364;48856;48856;48856;48856;48856;48856;48856;48856;48856;48856;48856;48856;49316.63636;49316.63636;49316.63636;49316.63636;49316.63636;49316.63636;49316.63636
Thanh Hóa;Quan Sơn;District;39153.34163;39153.34163;39153.34163;39153.34163;39153.34163;39153.34163;39153.34163;39153.34163;39153.34163;39153.34163;39153.34163;39153.34163;39605.64915;39605.64915;39605.64915;39605.64915;39605.64915;39605.64915;39605.64915;39605.64915;39605.64915;39605.64915;39605.64915;39605.64915;40063.18182;40063.18182;40063.18182;40063.18182;40063.18182;40063.18182;40063.18182;40063.18182;40063.18182;40063.18182;40063.18182;40063.18182;40526;40526;40526;40526;40526;40526;40526;40526;40526;40526;40526;40526;40988.81818;40988.81818;40988.81818;40988.81818;40988.81818;40988.81818;40988.81818
Thanh Hóa;Sầm Sơn;District-level City;104425.56056;104425.56056;104425.56056;104425.56056;104425.56056;104425.56056;104425.56056;104425.56056;104425.56056;104425.56056;104425.56056;104425.56056;105995.97191;105995.97191;105995.97191;105995.97191;105995.97191;105995.97191;105995.97191;105995.97191;105995.97191;105995.97191;105995.97191;105995.97191;107590;107590;107590;107590;107590;107590;107590;107590;107590;107590;107590;107590;109208;109208;109208;109208;109208;109208;109208;109208;109208;109208;109208;109208;110826;110826;110826;110826;110826;110826;110826
Thanh Hóa;Thạch Thành;District;142139.22072;142139.22072;142139.22072;142139.22072;142139.22072;142139.22072;142139.22072;142139.22072;142139.22072;142139.22072;142139.22072;142139.22072;142870.04971;142870.04971;142870.04971;142870.04971;142870.04971;142870.04971;142870.04971;142870.04971;142870.04971;142870.04971;142870.04971;142870.04971;143604.63636;143604.63636;143604.63636;143604.63636;143604.63636;143604.63636;143604.63636;143604.63636;143604.63636;143604.63636;143604.63636;143604.63636;144343;144343;144343;144343;144343;144343;144343;144343;144343;144343;144343;144343;145081.36364;145081.36364;145081.36364;145081.36364;145081.36364;145081.36364;145081.36364
Thanh Hóa;Thanh Hóa;District-level City;349814.88483;349814.88483;349814.88483;349814.88483;349814.88483;349814.88483;349814.88483;349814.88483;349814.88483;349814.88483;349814.88483;349814.88483;353148.06249;353148.06249;353148.06249;353148.06249;353148.06249;353148.06249;353148.06249;353148.06249;353148.06249;353148.06249;353148.06249;353148.06249;356513;356513;356513;356513;356513;356513;356513;356513;356513;356513;356513;356513;359910;359910;359910;359910;359910;359910;359910;359910;359910;359910;359910;359910;363307;363307;363307;363307;363307;363307;363307
