;Name;Status;2016-1;2016-2;2016-3;2016-4;2016-5;2016-6;2016-7;2016-8;2016-9;2016-10;2016-11;2016-12;2017-1;2017-2;2017-3;2017-4;2017-5;2017-6;2017-7;2017-8;2017-9;2017-10;2017-11;2017-12;2018-1;2018-2;2018-3;2018-4;2018-5;2018-6;2018-7;2018-8;2018-9;2018-10;2018-11;2018-12;2019-1;2019-2;2019-3;2019-4;2019-5;2019-6;2019-7;2019-8;2019-9;2019-10;2019-11;2019-12;2020-1;2020-2;2020-3;2020-4;2020-5;2020-6;2020-7
Cần Thơ;Phong Điền;District;98670.75137;98670.75137;98670.75137;98670.75137;98670.75137;98670.75137;98670.75137;98670.75137;98670.75137;98670.75137;98670.75137;98670.75137;98588.43226;98588.43226;98588.43226;98588.43226;98588.43226;98588.43226;98588.43226;98588.43226;98588.43226;98588.43226;98588.43226;98588.43226;98506.18182;98506.18182;98506.18182;98506.18182;98506.18182;98506.18182;98506.18182;98506.18182;98506.18182;98506.18182;98506.18182;98506.18182;98424;98424;98424;98424;98424;98424;98424;98424;98424;98424;98424;98424;98341.81818;98341.81818;98341.81818;98341.81818;98341.81818;98341.81818;98341.81818
Cần Thơ;Thới Lai;District;112789.21472;112789.21472;112789.21472;112789.21472;112789.21472;112789.21472;112789.21472;112789.21472;112789.21472;112789.21472;112789.21472;112789.21472;111744.49624;111744.49624;111744.49624;111744.49624;111744.49624;111744.49624;111744.49624;111744.49624;111744.49624;111744.49624;111744.49624;111744.49624;110709.45455;110709.45455;110709.45455;110709.45455;110709.45455;110709.45455;110709.45455;110709.45455;110709.45455;110709.45455;110709.45455;110709.45455;109684;109684;109684;109684;109684;109684;109684;109684;109684;109684;109684;109684;108658.54545;108658.54545;108658.54545;108658.54545;108658.54545;108658.54545;108658.54545
Cần Thơ;Thốt Nốt;Urban District;156142.67429;156142.67429;156142.67429;156142.67429;156142.67429;156142.67429;156142.67429;156142.67429;156142.67429;156142.67429;156142.67429;156142.67429;155881.34573;155881.34573;155881.34573;155881.34573;155881.34573;155881.34573;155881.34573;155881.34573;155881.34573;155881.34573;155881.34573;155881.34573;155620.45455;155620.45455;155620.45455;155620.45455;155620.45455;155620.45455;155620.45455;155620.45455;155620.45455;155620.45455;155620.45455;155620.45455;155360;155360;155360;155360;155360;155360;155360;155360;155360;155360;155360;155360;155099.54545;155099.54545;155099.54545;155099.54545;155099.54545;155099.54545;155099.54545
Cần Thơ;Vĩnh Thạnh;District;102303.1624;102303.1624;102303.1624;102303.1624;102303.1624;102303.1624;102303.1624;102303.1624;102303.1624;102303.1624;102303.1624;102303.1624;100984.85995;100984.85995;100984.85995;100984.85995;100984.85995;100984.85995;100984.85995;100984.85995;100984.85995;100984.85995;100984.85995;100984.85995;99683.54545;99683.54545;99683.54545;99683.54545;99683.54545;99683.54545;99683.54545;99683.54545;99683.54545;99683.54545;99683.54545;99683.54545;98399;98399;98399;98399;98399;98399;98399;98399;98399;98399;98399;98399;97114.45455;97114.45455;97114.45455;97114.45455;97114.45455;97114.45455;97114.45455
Cao Bằng;Cao Bằng;Province;524050.22029;524050.22029;524050.22029;524050.22029;524050.22029;524050.22029;524050.22029;524050.22029;524050.22029;524050.22029;524050.22029;524050.22029;526138.81176;526138.81176;526138.81176;526138.81176;526138.81176;526138.81176;526138.81176;526138.81176;526138.81176;526138.81176;526138.81176;526138.81176;528235.72727;528235.72727;528235.72727;528235.72727;528235.72727;528235.72727;528235.72727;528235.72727;528235.72727;528235.72727;528235.72727;528235.72727;530341;530341;530341;530341;530341;530341;530341;530341;530341;530341;530341;530341;532446.27273;532446.27273;532446.27273;532446.27273;532446.27273;532446.27273;532446.27273
Cao Bằng;Bảo Lạc;District;53052.16824;53052.16824;53052.16824;53052.16824;53052.16824;53052.16824;53052.16824;53052.16824;53052.16824;53052.16824;53052.16824;53052.16824;53504.24884;53504.24884;53504.24884;53504.24884;53504.24884;53504.24884;53504.24884;53504.24884;53504.24884;53504.24884;53504.24884;53504.24884;53960.18182;53960.18182;53960.18182;53960.18182;53960.18182;53960.18182;53960.18182;53960.18182;53960.18182;53960.18182;53960.18182;53960.18182;54420;54420;54420;54420;54420;54420;54420;54420;54420;54420;54420;54420;54879.81818;54879.81818;54879.81818;54879.81818;54879.81818;54879.81818;54879.81818
Cao Bằng;Bảo Lâm;District;62577.54675;62577.54675;62577.54675;62577.54675;62577.54675;62577.54675;62577.54675;62577.54675;62577.54675;62577.54675;62577.54675;62577.54675;63382.95399;63382.95399;63382.95399;63382.95399;63382.95399;63382.95399;63382.95399;63382.95399;63382.95399;63382.95399;63382.95399;63382.95399;64198.72727;64198.72727;64198.72727;64198.72727;64198.72727;64198.72727;64198.72727;64198.72727;64198.72727;64198.72727;64198.72727;64198.72727;65025;65025;65025;65025;65025;65025;65025;65025;65025;65025;65025;65025;65851.27273;65851.27273;65851.27273;65851.27273;65851.27273;65851.27273;65851.27273
Cao Bằng;Cao Bằng;District-level City;71148.59783;71148.59783;71148.59783;71148.59783;71148.59783;71148.59783;71148.59783;71148.59783;71148.59783;71148.59783;71148.59783;71148.59783;71939.89857;71939.89857;71939.89857;71939.89857;71939.89857;71939.89857;71939.89857;71939.89857;71939.89857;71939.89857;71939.89857;71939.89857;72740;72740;72740;72740;72740;72740;72740;72740;72740;72740;72740;72740;73549;73549;73549;73549;73549;73549;73549;73549;73549;73549;73549;73549;74358;74358;74358;74358;74358;74358;74358
Cao Bằng;Hạ Lang;District;25399.47503;25399.47503;25399.47503;25399.47503;25399.47503;25399.47503;25399.47503;25399.47503;25399.47503;25399.47503;25399.47503;25399.47503;25412.64319;25412.64319;25412.64319;25412.64319;25412.64319;25412.64319;25412.64319;25412.64319;25412.64319;25412.64319;25412.64319;25412.64319;25425.81818;25425.81818;25425.81818;25425.81818;25425.81818;25425.81818;25425.81818;25425.81818;25425.81818;25425.81818;25425.81818;25425.81818;25439;25439;25439;25439;25439;25439;25439;25439;25439;25439;25439;25439;25452.18182;25452.18182;25452.18182;25452.18182;25452.18182;25452.18182;25452.18182
Cao Bằng;Hà Quảng;District;33913.21864;33913.21864;33913.21864;33913.21864;33913.21864;33913.21864;33913.21864;33913.21864;33913.21864;33913.21864;33913.21864;33913.21864;33994.28515;33994.28515;33994.28515;33994.28515;33994.28515;33994.28515;33994.28515;33994.28515;33994.28515;33994.28515;33994.28515;33994.28515;34075.54545;34075.54545;34075.54545;34075.54545;34075.54545;34075.54545;34075.54545;34075.54545;34075.54545;34075.54545;34075.54545;34075.54545;34157;34157;34157;34157;34157;34157;34157;34157;34157;34157;34157;34157;34238.45455;34238.45455;34238.45455;34238.45455;34238.45455;34238.45455;34238.45455
Cao Bằng;Hòa An;District;52859.6966;52859.6966;52859.6966;52859.6966;52859.6966;52859.6966;52859.6966;52859.6966;52859.6966;52859.6966;52859.6966;52859.6966;52827.11098;52827.11098;52827.11098;52827.11098;52827.11098;52827.11098;52827.11098;52827.11098;52827.11098;52827.11098;52827.11098;52827.11098;52794.54545;52794.54545;52794.54545;52794.54545;52794.54545;52794.54545;52794.54545;52794.54545;52794.54545;52794.54545;52794.54545;52794.54545;52762;52762;52762;52762;52762;52762;52762;52762;52762;52762;52762;52762;52729.45455;52729.45455;52729.45455;52729.45455;52729.45455;52729.45455;52729.45455
Cao Bằng;Nguyên Bình;District;39590.21605;39590.21605;39590.21605;39590.21605;39590.21605;39590.21605;39590.21605;39590.21605;39590.21605;39590.21605;39590.21605;39590.21605;39611.46596;39611.46596;39611.46596;39611.46596;39611.46596;39611.46596;39611.46596;39611.46596;39611.46596;39611.46596;39611.46596;39611.46596;39632.72727;39632.72727;39632.72727;39632.72727;39632.72727;39632.72727;39632.72727;39632.72727;39632.72727;39632.72727;39632.72727;39632.72727;39654;39654;39654;39654;39654;39654;39654;39654;39654;39654;39654;39654;39675.27273;39675.27273;39675.27273;39675.27273;39675.27273;39675.27273;39675.27273
Cao Bằng;Phục Hòa;District;22756.40633;22756.40633;22756.40633;22756.40633;22756.40633;22756.40633;22756.40633;22756.40633;22756.40633;22756.40633;22756.40633;22756.40633;22788.22637;22788.22637;22788.22637;22788.22637;22788.22637;22788.22637;22788.22637;22788.22637;22788.22637;22788.22637;22788.22637;22788.22637;22820.09091;22820.09091;22820.09091;22820.09091;22820.09091;22820.09091;22820.09091;22820.09091;22820.09091;22820.09091;22820.09091;22820.09091;22852;22852;22852;22852;22852;22852;22852;22852;22852;22852;22852;22852;22883.90909;22883.90909;22883.90909;22883.90909;22883.90909;22883.90909;22883.90909
Cao Bằng;Quảng Uyên;District;38486.9096;38486.9096;38486.9096;38486.9096;38486.9096;38486.9096;38486.9096;38486.9096;38486.9096;38486.9096;38486.9096;38486.9096;38350.12081;38350.12081;38350.12081;38350.12081;38350.12081;38350.12081;38350.12081;38350.12081;38350.12081;38350.12081;38350.12081;38350.12081;38213.81818;38213.81818;38213.81818;38213.81818;38213.81818;38213.81818;38213.81818;38213.81818;38213.81818;38213.81818;38213.81818;38213.81818;38078;38078;38078;38078;38078;38078;38078;38078;38078;38078;38078;38078;37942.18182;37942.18182;37942.18182;37942.18182;37942.18182;37942.18182;37942.18182
Cao Bằng;Thạch An;District;30023.0957;30023.0957;30023.0957;30023.0957;30023.0957;30023.0957;30023.0957;30023.0957;30023.0957;30023.0957;30023.0957;30023.0957;29955.24391;29955.24391;29955.24391;29955.24391;29955.24391;29955.24391;29955.24391;29955.24391;29955.24391;29955.24391;29955.24391;29955.24391;29887.54545;29887.54545;29887.54545;29887.54545;29887.54545;29887.54545;29887.54545;29887.54545;29887.54545;29887.54545;29887.54545;29887.54545;29820;29820;29820;29820;29820;29820;29820;29820;29820;29820;29820;29820;29752.45455;29752.45455;29752.45455;29752.45455;29752.45455;29752.45455;29752.45455
Cao Bằng;Thông Nông;District;23706.89412;23706.89412;23706.89412;23706.89412;23706.89412;23706.89412;23706.89412;23706.89412;23706.89412;23706.89412;23706.89412;23706.89412;23765.78301;23765.78301;23765.78301;23765.78301;23765.78301;23765.78301;23765.78301;23765.78301;23765.78301;23765.78301;23765.78301;23765.78301;23824.81818;23824.81818;23824.81818;23824.81818;23824.81818;23824.81818;23824.81818;23824.81818;23824.81818;23824.81818;23824.81818;23824.81818;23884;23884;23884;23884;23884;23884;23884;23884;23884;23884;23884;23884;23943.18182;23943.18182;23943.18182;23943.18182;23943.18182;23943.18182;23943.18182
Cao Bằng;Trà Lĩnh;District;21694.76756;21694.76756;21694.76756;21694.76756;21694.76756;21694.76756;21694.76756;21694.76756;21694.76756;21694.76756;21694.76756;21694.76756;21711.83161;21711.83161;21711.83161;21711.83161;21711.83161;21711.83161;21711.83161;21711.83161;21711.83161;21711.83161;21711.83161;21711.83161;21728.90909;21728.90909;21728.90909;21728.90909;21728.90909;21728.90909;21728.90909;21728.90909;21728.90909;21728.90909;21728.90909;21728.90909;21746;21746;21746;21746;21746;21746;21746;21746;21746;21746;21746;21746;21763.09091;21763.09091;21763.09091;21763.09091;21763.09091;21763.09091;21763.09091
Cao Bằng;Trùng Khánh;District;48889.02966;48889.02966;48889.02966;48889.02966;48889.02966;48889.02966;48889.02966;48889.02966;48889.02966;48889.02966;48889.02966;48889.02966;48911.00989;48911.00989;48911.00989;48911.00989;48911.00989;48911.00989;48911.00989;48911.00989;48911.00989;48911.00989;48911.00989;48911.00989;48933;48933;48933;48933;48933;48933;48933;48933;48933;48933;48933;48933;48955;48955;48955;48955;48955;48955;48955;48955;48955;48955;48955;48955;48977;48977;48977;48977;48977;48977;48977
Đắk Lắk;Đắk Lắk;Province;1832557.1471;1832557.1471;1832557.1471;1832557.1471;1832557.1471;1832557.1471;1832557.1471;1832557.1471;1832557.1471;1832557.1471;1832557.1471;1832557.1471;1844731.0463;1844731.0463;1844731.0463;1844731.0463;1844731.0463;1844731.0463;1844731.0463;1844731.0463;1844731.0463;1844731.0463;1844731.0463;1844731.0463;1856985.81818;1856985.81818;1856985.81818;1856985.81818;1856985.81818;1856985.81818;1856985.81818;1856985.81818;1856985.81818;1856985.81818;1856985.81818;1856985.81818;1869322;1869322;1869322;1869322;1869322;1869322;1869322;1869322;1869322;1869322;1869322;1869322;1881658.18182;1881658.18182;1881658.18182;1881658.18182;1881658.18182;1881658.18182;1881658.18182
Đắk Lắk;Buôn Đôn;District;63087.54861;63087.54861;63087.54861;63087.54861;63087.54861;63087.54861;63087.54861;63087.54861;63087.54861;63087.54861;63087.54861;63087.54861;63473.00585;63473.00585;63473.00585;63473.00585;63473.00585;63473.00585;63473.00585;63473.00585;63473.00585;63473.00585;63473.00585;63473.00585;63860.81818;63860.81818;63860.81818;63860.81818;63860.81818;63860.81818;63860.81818;63860.81818;63860.81818;63860.81818;63860.81818;63860.81818;64251;64251;64251;64251;64251;64251;64251;64251;64251;64251;64251;64251;64641.18182;64641.18182;64641.18182;64641.18182;64641.18182;64641.18182;64641.18182
Đắk Lắk;Buôn Hồ;District-level Town;98174.77885;98174.77885;98174.77885;98174.77885;98174.77885;98174.77885;98174.77885;98174.77885;98174.77885;98174.77885;98174.77885;98174.77885;98360.16893;98360.16893;98360.16893;98360.16893;98360.16893;98360.16893;98360.16893;98360.16893;98360.16893;98360.16893;98360.16893;98360.16893;98545.90909;98545.90909;98545.90909;98545.90909;98545.90909;98545.90909;98545.90909;98545.90909;98545.90909;98545.90909;98545.90909;98545.90909;98732;98732;98732;98732;98732;98732;98732;98732;98732;98732;98732;98732;98918.09091;98918.09091;98918.09091;98918.09091;98918.09091;98918.09091;98918.09091
Đắk Lắk;Buôn Ma Thuột;District-level City;362263.08009;362263.08009;362263.08009;362263.08009;362263.08009;362263.08009;362263.08009;362263.08009;362263.08009;362263.08009;362263.08009;362263.08009;366651.99901;366651.99901;366651.99901;366651.99901;366651.99901;366651.99901;366651.99901;366651.99901;366651.99901;366651.99901;366651.99901;366651.99901;371094.09091;371094.09091;371094.09091;371094.09091;371094.09091;371094.09091;371094.09091;371094.09091;371094.09091;371094.09091;371094.09091;371094.09091;375590;375590;375590;375590;375590;375590;375590;375590;375590;375590;375590;375590;380085.90909;380085.90909;380085.90909;380085.90909;380085.90909;380085.90909;380085.90909
Đắk Lắk;Cư Kuin;District;100785.15857;100785.15857;100785.15857;100785.15857;100785.15857;100785.15857;100785.15857;100785.15857;100785.15857;100785.15857;100785.15857;100785.15857;100938.87116;100938.87116;100938.87116;100938.87116;100938.87116;100938.87116;100938.87116;100938.87116;100938.87116;100938.87116;100938.87116;100938.87116;101092.81818;101092.81818;101092.81818;101092.81818;101092.81818;101092.81818;101092.81818;101092.81818;101092.81818;101092.81818;101092.81818;101092.81818;101247;101247;101247;101247;101247;101247;101247;101247;101247;101247;101247;101247;101401.18182;101401.18182;101401.18182;101401.18182;101401.18182;101401.18182;101401.18182
Đắk Lắk;Cư M'gar;District;173825.19726;173825.19726;173825.19726;173825.19726;173825.19726;173825.19726;173825.19726;173825.19726;173825.19726;173825.19726;173825.19726;173825.19726;175081.6937;175081.6937;175081.6937;175081.6937;175081.6937;175081.6937;175081.6937;175081.6937;175081.6937;175081.6937;175081.6937;175081.6937;176347.27273;176347.27273;176347.27273;176347.27273;176347.27273;176347.27273;176347.27273;176347.27273;176347.27273;176347.27273;176347.27273;176347.27273;177622;177622;177622;177622;177622;177622;177622;177622;177622;177622;177622;177622;178896.72727;178896.72727;178896.72727;178896.72727;178896.72727;178896.72727;178896.72727
Đắk Lắk;Ea H'leo;District;132586.06328;132586.06328;132586.06328;132586.06328;132586.06328;132586.06328;132586.06328;132586.06328;132586.06328;132586.06328;132586.06328;132586.06328;134002.19616;134002.19616;134002.19616;134002.19616;134002.19616;134002.19616;134002.19616;134002.19616;134002.19616;134002.19616;134002.19616;134002.19616;135433.45455;135433.45455;135433.45455;135433.45455;135433.45455;135433.45455;135433.45455;135433.45455;135433.45455;135433.45455;135433.45455;135433.45455;136880;136880;136880;136880;136880;136880;136880;136880;136880;136880;136880;136880;138326.54545;138326.54545;138326.54545;138326.54545;138326.54545;138326.54545;138326.54545
Đắk Lắk;Ea Kar;District;143601.03228;143601.03228;143601.03228;143601.03228;143601.03228;143601.03228;143601.03228;143601.03228;143601.03228;143601.03228;143601.03228;143601.03228;143883.46567;143883.46567;143883.46567;143883.46567;143883.46567;143883.46567;143883.46567;143883.46567;143883.46567;143883.46567;143883.46567;143883.46567;144166.45455;144166.45455;144166.45455;144166.45455;144166.45455;144166.45455;144166.45455;144166.45455;144166.45455;144166.45455;144166.45455;144166.45455;144450;144450;144450;144450;144450;144450;144450;144450;144450;144450;144450;144450;144733.54545;144733.54545;144733.54545;144733.54545;144733.54545;144733.54545;144733.54545
Đắk Lắk;Ea Súp;District;67463.16695;67463.16695;67463.16695;67463.16695;67463.16695;67463.16695;67463.16695;67463.16695;67463.16695;67463.16695;67463.16695;67463.16695;68533.05443;68533.05443;68533.05443;68533.05443;68533.05443;68533.05443;68533.05443;68533.05443;68533.05443;68533.05443;68533.05443;68533.05443;69619.90909;69619.90909;69619.90909;69619.90909;69619.90909;69619.90909;69619.90909;69619.90909;69619.90909;69619.90909;69619.90909;69619.90909;70724;70724;70724;70724;70724;70724;70724;70724;70724;70724;70724;70724;71828.09091;71828.09091;71828.09091;71828.09091;71828.09091;71828.09091;71828.09091
Đắk Lắk;Krông Ana;District;80197.29715;80197.29715;80197.29715;80197.29715;80197.29715;80197.29715;80197.29715;80197.29715;80197.29715;80197.29715;80197.29715;80197.29715;80095.40203;80095.40203;80095.40203;80095.40203;80095.40203;80095.40203;80095.40203;80095.40203;80095.40203;80095.40203;80095.40203;80095.40203;79993.63636;79993.63636;79993.63636;79993.63636;79993.63636;79993.63636;79993.63636;79993.63636;79993.63636;79993.63636;79993.63636;79993.63636;79892;79892;79892;79892;79892;79892;79892;79892;79892;79892;79892;79892;79790.36364;79790.36364;79790.36364;79790.36364;79790.36364;79790.36364;79790.36364
Đắk Lắk;Krông Bông;District;90727.33978;90727.33978;90727.33978;90727.33978;90727.33978;90727.33978;90727.33978;90727.33978;90727.33978;90727.33978;90727.33978;90727.33978;91170.72285;91170.72285;91170.72285;91170.72285;91170.72285;91170.72285;91170.72285;91170.72285;91170.72285;91170.72285;91170.72285;91170.72285;91616.27273;91616.27273;91616.27273;91616.27273;91616.27273;91616.27273;91616.27273;91616.27273;91616.27273;91616.27273;91616.27273;91616.27273;92064;92064;92064;92064;92064;92064;92064;92064;92064;92064;92064;92064;92511.72727;92511.72727;92511.72727;92511.72727;92511.72727;92511.72727;92511.72727
Đắk Lắk;Krông Búk;District;62842.44952;62842.44952;62842.44952;62842.44952;62842.44952;62842.44952;62842.44952;62842.44952;62842.44952;62842.44952;62842.44952;62842.44952;63507.56862;63507.56862;63507.56862;63507.56862;63507.56862;63507.56862;63507.56862;63507.56862;63507.56862;63507.56862;63507.56862;63507.56862;64179.72727;64179.72727;64179.72727;64179.72727;64179.72727;64179.72727;64179.72727;64179.72727;64179.72727;64179.72727;64179.72727;64179.72727;64859;64859;64859;64859;64859;64859;64859;64859;64859;64859;64859;64859;65538.27273;65538.27273;65538.27273;65538.27273;65538.27273;65538.27273;65538.27273
Đắk Lắk;Krông Năng;District;124158.16633;124158.16633;124158.16633;124158.16633;124158.16633;124158.16633;124158.16633;124158.16633;124158.16633;124158.16633;124158.16633;124158.16633;124889.79118;124889.79118;124889.79118;124889.79118;124889.79118;124889.79118;124889.79118;124889.79118;124889.79118;124889.79118;124889.79118;124889.79118;125625.72727;125625.72727;125625.72727;125625.72727;125625.72727;125625.72727;125625.72727;125625.72727;125625.72727;125625.72727;125625.72727;125625.72727;126366;126366;126366;126366;126366;126366;126366;126366;126366;126366;126366;126366;127106.27273;127106.27273;127106.27273;127106.27273;127106.27273;127106.27273;127106.27273
Đắk Lắk;Krông Pắc;District;195536.29347;195536.29347;195536.29347;195536.29347;195536.29347;195536.29347;195536.29347;195536.29347;195536.29347;195536.29347;195536.29347;195536.29347;195226.03696;195226.03696;195226.03696;195226.03696;195226.03696;195226.03696;195226.03696;195226.03696;195226.03696;195226.03696;195226.03696;195226.03696;194916.27273;194916.27273;194916.27273;194916.27273;194916.27273;194916.27273;194916.27273;194916.27273;194916.27273;194916.27273;194916.27273;194916.27273;194607;194607;194607;194607;194607;194607;194607;194607;194607;194607;194607;194607;194297.72727;194297.72727;194297.72727;194297.72727;194297.72727;194297.72727;194297.72727
Đắk Lắk;Lắk;District;67211.38429;67211.38429;67211.38429;67211.38429;67211.38429;67211.38429;67211.38429;67211.38429;67211.38429;67211.38429;67211.38429;67211.38429;68091.02681;68091.02681;68091.02681;68091.02681;68091.02681;68091.02681;68091.02681;68091.02681;68091.02681;68091.02681;68091.02681;68091.02681;68982.18182;68982.18182;68982.18182;68982.18182;68982.18182;68982.18182;68982.18182;68982.18182;68982.18182;68982.18182;68982.18182;68982.18182;69885;69885;69885;69885;69885;69885;69885;69885;69885;69885;69885;69885;70787.81818;70787.81818;70787.81818;70787.81818;70787.81818;70787.81818;70787.81818
Đắk Lắk;M'Đrắk;District;70244.88995;70244.88995;70244.88995;70244.88995;70244.88995;70244.88995;70244.88995;70244.88995;70244.88995;70244.88995;70244.88995;70244.88995;70875.25296;70875.25296;70875.25296;70875.25296;70875.25296;70875.25296;70875.25296;70875.25296;70875.25296;70875.25296;70875.25296;70875.25296;71511.27273;71511.27273;71511.27273;71511.27273;71511.27273;71511.27273;71511.27273;71511.27273;71511.27273;71511.27273;71511.27273;71511.27273;72153;72153;72153;72153;72153;72153;72153;72153;72153;72153;72153;72153;72794.72727;72794.72727;72794.72727;72794.72727;72794.72727;72794.72727;72794.72727
Đắk Nông;Đắk Nông;Province;586654.35445;586654.35445;586654.35445;586654.35445;586654.35445;586654.35445;586654.35445;586654.35445;586654.35445;586654.35445;586654.35445;586654.35445;598261.08711;598261.08711;598261.08711;598261.08711;598261.08711;598261.08711;598261.08711;598261.08711;598261.08711;598261.08711;598261.08711;598261.08711;610097.45455;610097.45455;610097.45455;610097.45455;610097.45455;610097.45455;610097.45455;610097.45455;610097.45455;610097.45455;610097.45455;610097.45455;622168;622168;622168;622168;622168;622168;622168;622168;622168;622168;622168;622168;634238.54545;634238.54545;634238.54545;634238.54545;634238.54545;634238.54545;634238.54545
Đắk Nông;Cư Jút;District;90708.50076;90708.50076;90708.50076;90708.50076;90708.50076;90708.50076;90708.50076;90708.50076;90708.50076;90708.50076;90708.50076;90708.50076;91011.6529;91011.6529;91011.6529;91011.6529;91011.6529;91011.6529;91011.6529;91011.6529;91011.6529;91011.6529;91011.6529;91011.6529;91315.81818;91315.81818;91315.81818;91315.81818;91315.81818;91315.81818;91315.81818;91315.81818;91315.81818;91315.81818;91315.81818;91315.81818;91621;91621;91621;91621;91621;91621;91621;91621;91621;91621;91621;91621;91926.18182;91926.18182;91926.18182;91926.18182;91926.18182;91926.18182;91926.18182
Đắk Nông;Đăk Glong;District;60243.83179;60243.83179;60243.83179;60243.83179;60243.83179;60243.83179;60243.83179;60243.83179;60243.83179;60243.83179;60243.83179;60243.83179;62658.4794;62658.4794;62658.4794;62658.4794;62658.4794;62658.4794;62658.4794;62658.4794;62658.4794;62658.4794;62658.4794;62658.4794;65169.90909;65169.90909;65169.90909;65169.90909;65169.90909;65169.90909;65169.90909;65169.90909;65169.90909;65169.90909;65169.90909;65169.90909;67782;67782;67782;67782;67782;67782;67782;67782;67782;67782;67782;67782;70394.09091;70394.09091;70394.09091;70394.09091;70394.09091;70394.09091;70394.09091
Đắk Nông;Đắk Mil;District;96638.60963;96638.60963;96638.60963;96638.60963;96638.60963;96638.60963;96638.60963;96638.60963;96638.60963;96638.60963;96638.60963;96638.60963;97711.12603;97711.12603;97711.12603;97711.12603;97711.12603;97711.12603;97711.12603;97711.12603;97711.12603;97711.12603;97711.12603;97711.12603;98795.54545;98795.54545;98795.54545;98795.54545;98795.54545;98795.54545;98795.54545;98795.54545;98795.54545;98795.54545;98795.54545;98795.54545;99892;99892;99892;99892;99892;99892;99892;99892;99892;99892;99892;99892;100988.45455;100988.45455;100988.45455;100988.45455;100988.45455;100988.45455;100988.45455
Đắk Nông;Đắk R'Lấp;District;80999.32674;80999.32674;80999.32674;80999.32674;80999.32674;80999.32674;80999.32674;80999.32674;80999.32674;80999.32674;80999.32674;80999.32674;81842.41209;81842.41209;81842.41209;81842.41209;81842.41209;81842.41209;81842.41209;81842.41209;81842.41209;81842.41209;81842.41209;81842.41209;82694.27273;82694.27273;82694.27273;82694.27273;82694.27273;82694.27273;82694.27273;82694.27273;82694.27273;82694.27273;82694.27273;82694.27273;83555;83555;83555;83555;83555;83555;83555;83555;83555;83555;83555;83555;84415.72727;84415.72727;84415.72727;84415.72727;84415.72727;84415.72727;84415.72727
Đắk Nông;Đắk Song;District;74225.66192;74225.66192;74225.66192;74225.66192;74225.66192;74225.66192;74225.66192;74225.66192;74225.66192;74225.66192;74225.66192;74225.66192;76265.2188;76265.2188;76265.2188;76265.2188;76265.2188;76265.2188;76265.2188;76265.2188;76265.2188;76265.2188;76265.2188;76265.2188;78360.81818;78360.81818;78360.81818;78360.81818;78360.81818;78360.81818;78360.81818;78360.81818;78360.81818;78360.81818;78360.81818;78360.81818;80514;80514;80514;80514;80514;80514;80514;80514;80514;80514;80514;80514;82667.18182;82667.18182;82667.18182;82667.18182;82667.18182;82667.18182;82667.18182
Đắk Nông;Gia Nghĩa;District-level Town;57424.26243;57424.26243;57424.26243;57424.26243;57424.26243;57424.26243;57424.26243;57424.26243;57424.26243;57424.26243;57424.26243;57424.26243;59240.1473;59240.1473;59240.1473;59240.1473;59240.1473;59240.1473;59240.1473;59240.1473;59240.1473;59240.1473;59240.1473;59240.1473;61113.45455;61113.45455;61113.45455;61113.45455;61113.45455;61113.45455;61113.45455;61113.45455;61113.45455;61113.45455;61113.45455;61113.45455;63046;63046;63046;63046;63046;63046;63046;63046;63046;63046;63046;63046;64978.54545;64978.54545;64978.54545;64978.54545;64978.54545;64978.54545;64978.54545
Đắk Nông;Krông Nô;District;71338.09862;71338.09862;71338.09862;71338.09862;71338.09862;71338.09862;71338.09862;71338.09862;71338.09862;71338.09862;71338.09862;71338.09862;72359.37537;72359.37537;72359.37537;72359.37537;72359.37537;72359.37537;72359.37537;72359.37537;72359.37537;72359.37537;72359.37537;72359.37537;73395.27273;73395.27273;73395.27273;73395.27273;73395.27273;73395.27273;73395.27273;73395.27273;73395.27273;73395.27273;73395.27273;73395.27273;74446;74446;74446;74446;74446;74446;74446;74446;74446;74446;74446;74446;75496.72727;75496.72727;75496.72727;75496.72727;75496.72727;75496.72727;75496.72727
Đắk Nông;Tuy Đức;District;55338.33298;55338.33298;55338.33298;55338.33298;55338.33298;55338.33298;55338.33298;55338.33298;55338.33298;55338.33298;55338.33298;55338.33298;57261.91604;57261.91604;57261.91604;57261.91604;57261.91604;57261.91604;57261.91604;57261.91604;57261.91604;57261.91604;57261.91604;57261.91604;59252.36364;59252.36364;59252.36364;59252.36364;59252.36364;59252.36364;59252.36364;59252.36364;59252.36364;59252.36364;59252.36364;59252.36364;61312;61312;61312;61312;61312;61312;61312;61312;61312;61312;61312;61312;63371.63636;63371.63636;63371.63636;63371.63636;63371.63636;63371.63636;63371.63636
